0,1
1,8
2,8
3,8
4,7
5,1
6,13
7,1
8,8
9,1
10,1
11,4
12,1
13,1
14,1
15,1
16,1
17,1065353216
18,20
19,16384
20,16384
21,2048
22,16384
23,16384
24,16
25,2097151
26,1048575
27,65535
28,65535
29,32
30,32
31,67108863
32,1633311
33,1630495
34,548895
35,548895
36,549151
37,24863
38,1633311
39,24607
40,24583
41,24607
42,24607
43,16581
44,16581
45,16581
46,57349
47,57349
48,57349
49,57349
50,57349
51,81925
52,81927
53,81927
54,81925
55,81921
56,8413215
57,8413215
58,8413215
59,8413215
60,8413215
61,8413215
62,0
63,4
64,8
65,81927
66,24607
67,24607
68,19161088
69,19161088
70,0
71,0
72,0
73,0
74,1
75,19161088
76,0
77,256
78,32768
79,16581
80,16581
81,16581
82,24581
83,24581
84,0
85,0
86,0
87,0
88,0
89,1065353216
90,0
91,19161088
92,0
93,1
94,0
95,1
96,512
97,16
98,14
99,0
100,759
101,1015
102,759
103,247
104,247
105,247
106,9
107,619
108,619
109,11
110,247
111,227
112,247
113,227
114,99
115,99
116,99
117,99
118,99
119,227
120,0
121,99
122,0
123,1015
124,1015
125,1015
126,227
127,99
128,99
129,227
130,227
131,247
132,1015
133,1015
134,1015
135,1015
136,1
137,619
138,483
139,1015
140,503
141,1
142,1
143,1
144,0
145,737
146,999
147,999
148,225
149,483
150,483
151,483
152,737
153,999
154,1015
155,999
156,737
157,999
158,999
159,609
160,617
161,99
162,99
163,737
164,999
165,1015
166,737
167,1015
168,759
169,999
170,999
171,737
172,999
173,999
174,737
175,617
176,999
177,999
178,609
179,617
180,99
181,99
182,737
183,1015
184,999
185,999
186,737
187,1015
188,999
189,1015
190,999
191,737
192,1015
193,999
194,1015
195,999
196,1
197,227
198,227
199,227
200,225
201,227
202,225
203,227
204,225
205,227
206,225
207,99
208,227
209,225
210,99
211,227
212,69
213,737
214,759
215,737
216,759
217,107
218,107
219,107
220,1
221,1015
222,1015
223,1015
224,1015
225,1015
226,1015
227,1015
228,1015
229,1015
230,1015
231,1015
232,1015
233,617
234,759
235,227
236,227
237,227
238,759
239,247
240,1015
241,1015
242,227
243,227
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
